gene_id	label	pred
ENSG00000100393	True	True
ENSG00000133703	True	True
ENSG00000155657	False	True
ENSG00000284792	True	True
ENSG00000039068	True	True
ENSG00000121879	True	True
ENSG00000146648	True	True
ENSG00000168036	True	True
ENSG00000141510	True	True
ENSG00000005339	True	True
ENSG00000149311	True	True
ENSG00000117713	True	True
ENSG00000109670	True	True
ENSG00000142208	True	True
ENSG00000136997	True	True
ENSG00000167548	True	True
ENSG00000163554	False	True
ENSG00000100345	True	True
ENSG00000148400	True	True
ENSG00000111642	True	True
ENSG00000134982	True	True
ENSG00000147050	True	True
ENSG00000012048	True	True
ENSG00000141646	True	True
ENSG00000197694	False	True
ENSG00000131018	False	True
ENSG00000145675	True	True
ENSG00000080824	True	True
ENSG00000166949	True	True
ENSG00000178209	False	True
ENSG00000127616	True	True
ENSG00000118058	True	True
ENSG00000157764	True	True
ENSG00000143631	False	True
	False	True
ENSG00000150991	False	True
ENSG00000075624	False	True
ENSG00000141736	True	True
ENSG00000100030	True	True
ENSG00000175387	True	True
ENSG00000001626	False	True
ENSG00000168610	True	True
ENSG00000198400	True	True
ENSG00000185591	False	True
ENSG00000169083	True	True
	True	True
ENSG00000196591	False	True
ENSG00000091831	True	True
	False	True
	False	True
ENSG00000096401	False	True
ENSG00000140575	False	True
ENSG00000109971	False	True
	False	True
	False	True
ENSG00000118046	True	True
	False	True
	False	True
	True	True
ENSG00000160789	True	True
	False	True
	False	True
ENSG00000175054	True	True
ENSG00000187531	False	True
ENSG00000124006	False	True
ENSG00000100603	False	True
ENSG00000121067	True	True
ENSG00000140464	True	True
ENSG00000181555	True	True
ENSG00000172531	False	True
ENSG00000181143	True	True
ENSG00000164924	False	True
ENSG00000182944	True	True
ENSG00000100644	True	True
ENSG00000055609	True	True
ENSG00000036257	True	True
ENSG00000141027	True	True
ENSG00000128731	False	True
ENSG00000163939	True	True
ENSG00000141367	True	True
ENSG00000127481	False	True
ENSG00000160691	False	True
ENSG00000276536	True	True
ENSG00000083857	True	True
ENSG00000087586	True	True
ENSG00000097007	True	True
ENSG00000060237	False	True
ENSG00000288121	False	True
ENSG00000253729	False	True
ENSG00000273686	True	True
ENSG00000072803	False	True
ENSG00000151914	False	True
ENSG00000132155	True	True
	False	True
ENSG00000177606	True	True
ENSG00000135679	True	True
ENSG00000110395	True	True
ENSG00000170365	False	True
ENSG00000067369	False	True
ENSG00000134308	False	True
ENSG00000105325	False	True
ENSG00000163781	False	True
ENSG00000095015	True	True
ENSG00000127914	True	True
ENSG00000101412	True	True
ENSG00000161011	False	True
ENSG00000158092	False	True
ENSG00000166167	False	True
ENSG00000143341	False	True
ENSG00000137076	False	True
ENSG00000117748	False	True
	False	True
ENSG00000196924	True	True
ENSG00000010810	False	True
ENSG00000134250	True	True
ENSG00000131196	False	True
ENSG00000104365	True	True
ENSG00000164754	True	True
ENSG00000181449	True	True
ENSG00000153707	True	True
ENSG00000272333	False	True
ENSG00000124151	True	True
ENSG00000096717	False	True
ENSG00000196712	True	True
ENSG00000082701	False	True
ENSG00000113916	True	True
ENSG00000213341	False	True
ENSG00000143702	False	True
ENSG00000164305	True	True
ENSG00000186575	True	True
ENSG00000159692	False	True
ENSG00000065526	True	True
ENSG00000166851	False	True
ENSG00000154229	False	True
ENSG00000115415	False	True
ENSG00000143799	True	True
ENSG00000096384	True	True
	False	True
ENSG00000171316	False	True
ENSG00000197102	False	True
ENSG00000170312	False	True
ENSG00000204531	True	True
ENSG00000173039	False	True
ENSG00000005810	False	True
ENSG00000137486	False	True
ENSG00000108055	False	True
	False	True
ENSG00000103275	False	True
ENSG00000183117	False	True
	False	True
ENSG00000206279	True	True
ENSG00000116478	False	True
ENSG00000186472	False	True
ENSG00000068024	False	True
ENSG00000139613	False	True
ENSG00000169398	False	True
ENSG00000113580	False	True
ENSG00000132646	True	True
ENSG00000129691	False	True
ENSG00000050405	False	True
ENSG00000167193	False	True
ENSG00000108654	True	True
ENSG00000136754	True	True
ENSG00000114166	False	True
ENSG00000102974	True	True
ENSG00000171720	False	True
ENSG00000141568	False	True
ENSG00000120738	True	True
ENSG00000116044	True	True
ENSG00000196363	False	True
ENSG00000083168	True	True
ENSG00000169375	False	True
ENSG00000188906	False	True
ENSG00000178104	False	True
ENSG00000108953	True	True
ENSG00000068078	True	True
ENSG00000177885	False	True
ENSG00000128052	True	True
ENSG00000153201	True	True
ENSG00000165119	False	True
ENSG00000179295	True	True
ENSG00000197386	False	True
	False	True
ENSG00000150457	False	True
	False	True
ENSG00000100629	False	True
ENSG00000140443	True	True
ENSG00000113712	False	True
ENSG00000145907	False	True
ENSG00000108424	False	True
ENSG00000135250	False	True
ENSG00000196498	True	True
ENSG00000170004	False	True
ENSG00000157212	False	True
ENSG00000124486	False	True
ENSG00000117560	True	True
ENSG00000163932	False	True
ENSG00000115641	False	True
ENSG00000123384	False	True
ENSG00000145715	False	True
ENSG00000079999	True	True
	False	True
ENSG00000132170	True	True
ENSG00000154358	False	True
ENSG00000099956	True	True
ENSG00000124762	True	True
ENSG00000117222	False	True
ENSG00000073111	False	True
ENSG00000106462	True	True
ENSG00000181163	True	True
ENSG00000136238	True	True
ENSG00000134086	True	True
ENSG00000084676	True	True
ENSG00000173473	False	True
ENSG00000182481	False	True
ENSG00000188612	False	True
ENSG00000166598	False	True
ENSG00000136807	False	True
ENSG00000198898	False	True
ENSG00000198900	True	True
	False	True
ENSG00000076242	True	True
ENSG00000189079	True	True
ENSG00000077522	False	True
ENSG00000178568	True	True
ENSG00000137309	True	True
ENSG00000182979	False	True
ENSG00000197299	True	True
ENSG00000186153	False	True
ENSG00000170345	False	True
ENSG00000165025	True	True
ENSG00000004897	False	True
	True	True
ENSG00000184009	False	True
ENSG00000163104	False	True
ENSG00000132604	False	True
	False	True
ENSG00000162946	False	True
ENSG00000139618	True	True
ENSG00000213281	True	True
ENSG00000198793	True	True
ENSG00000182866	True	True
ENSG00000115414	False	True
ENSG00000138376	True	True
ENSG00000089159	False	True
ENSG00000104517	True	True
ENSG00000118260	True	True
ENSG00000047410	True	True
ENSG00000158169	True	True
ENSG00000198626	False	True
ENSG00000140836	True	True
ENSG00000108604	False	True
ENSG00000107854	False	True
ENSG00000173821	True	True
ENSG00000136068	False	True
ENSG00000065361	True	True
ENSG00000159216	True	True
ENSG00000168214	False	True
ENSG00000169047	False	True
ENSG00000106799	False	True
	True	True
ENSG00000197321	False	True
ENSG00000080503	False	True
ENSG00000044574	False	True
ENSG00000120899	False	True
ENSG00000230108	True	True
ENSG00000101096	True	True
ENSG00000105810	True	True
ENSG00000174405	False	True
	False	True
ENSG00000064012	True	True
ENSG00000118689	True	True
ENSG00000137693	False	True
ENSG00000173801	False	True
ENSG00000115904	False	True
ENSG00000079246	False	True
ENSG00000144554	True	True
ENSG00000101004	False	True
ENSG00000166913	False	True
ENSG00000143437	True	True
ENSG00000166147	False	True
ENSG00000125107	False	True
ENSG00000145604	True	True
ENSG00000069869	False	True
ENSG00000073282	True	True
ENSG00000162434	True	True
ENSG00000145386	False	True
ENSG00000066468	True	True
ENSG00000104320	True	True
ENSG00000111875	False	True
ENSG00000143632	False	True
ENSG00000111704	False	True
ENSG00000275979	True	True
ENSG00000150093	False	True
ENSG00000169032	True	True
ENSG00000133026	False	True
ENSG00000072501	True	True
ENSG00000111276	True	True
ENSG00000131759	True	True
ENSG00000129514	True	True
ENSG00000090905	False	True
ENSG00000169515	False	True
	False	True
ENSG00000174799	False	True
ENSG00000187790	False	True
ENSG00000125398	True	True
ENSG00000128513	True	True
ENSG00000081479	False	True
ENSG00000134954	True	True
ENSG00000196419	True	True
ENSG00000187741	True	True
ENSG00000034152	False	True
	True	True
ENSG00000110092	True	True
ENSG00000134057	False	True
ENSG00000124181	True	True
ENSG00000172534	False	True
ENSG00000094631	False	True
ENSG00000198909	False	True
ENSG00000095002	True	True
ENSG00000115306	False	True
ENSG00000116127	False	True
ENSG00000120885	True	True
ENSG00000070950	False	True
ENSG00000284126	False	True
ENSG00000189403	False	True
ENSG00000102755	False	True
ENSG00000163930	True	True
ENSG00000134640	False	True
ENSG00000125952	True	True
ENSG00000096968	True	True
ENSG00000196367	True	True
ENSG00000011426	False	True
ENSG00000110713	True	True
ENSG00000148498	False	True
ENSG00000168283	False	True
ENSG00000141480	False	True
ENSG00000163625	False	True
ENSG00000187555	False	True
ENSG00000111679	True	True
ENSG00000115524	True	True
ENSG00000178999	True	True
ENSG00000105974	True	True
ENSG00000142453	False	True
ENSG00000149554	False	True
ENSG00000074219	False	True
ENSG00000050748	False	True
ENSG00000151150	False	True
ENSG00000078900	False	True
ENSG00000160867	True	True
ENSG00000169710	True	True
ENSG00000173273	False	True
ENSG00000171552	True	True
ENSG00000085224	True	True
ENSG00000100084	False	True
ENSG00000070831	False	True
ENSG00000109320	False	True
ENSG00000277401	False	True
ENSG00000049618	True	True
ENSG00000102554	False	True
ENSG00000048028	False	True
ENSG00000044115	False	True
ENSG00000079805	True	True
ENSG00000204843	True	True
ENSG00000141867	True	True
ENSG00000147010	False	True
ENSG00000140396	True	True
ENSG00000112062	False	True
ENSG00000124788	False	True
ENSG00000269335	False	True
ENSG00000078674	True	True
ENSG00000128591	False	True
ENSG00000197122	True	True
ENSG00000067606	False	True
ENSG00000103126	True	True
ENSG00000113721	True	True
